Date,AAPL,ABBV,BA,BAC,CAT,CVX,GOOGL,GS,HD,JNJ,JPM,MCD,MSFT,NKE,NVDA,PFE,UNH,V,WMT,XOM
2023-07-11,185.650634765625,122.7584457397461,218.75999450683594,27.21344566345215,242.1278533935547,142.00587463378906,116.26156616210938,302.00616455078125,294.8384704589844,146.9429168701172,139.33575439453125,278.03753662109375,326.23150634765625,102.46585845947266,42.374168395996094,30.380481719970703,441.5691833496094,235.6082763671875,50.09168243408203,96.51126098632812
2023-07-12,187.31875610351562,122.22421264648438,217.11000061035156,27.532278060913086,242.84603881835938,143.37094116210938,118.03813934326172,307.2015075683594,298.46685791015625,146.43345642089844,140.02574157714844,278.8582763671875,330.872802734375,102.81888580322266,43.870086669921875,30.355180740356445,430.89453125,237.2341766357422,50.2180061340332,96.98482513427734
2023-07-13,188.07882690429688,122.30661010742188,216.85000610351562,27.822980880737305,245.01019287109375,141.45803833007812,123.6060562133789,309.3473815917969,295.72210693359375,147.1096649169922,140.70623779296875,278.4903869628906,336.2303466796875,102.89521789550781,45.943572998046875,30.41421890258789,427.12646484375,238.3115692138672,49.923255920410156,95.20889282226562
2023-07-14,188.22689819335938,124.52218627929688,213.1199951171875,27.297842025756836,244.78038024902344,137.92852783203125,124.47946166992188,307.00384521484375,297.50811767578125,148.09156799316406,141.55690002441406,278.2262878417969,338.7618713378906,103.00019073486328,45.435943603515625,30.63351058959961,458.0531921386719,238.16465759277344,50.09492874145508,91.93022918701172
2023-07-17,191.48428344726562,123.44186401367188,211.8699951171875,27.569786071777344,246.54237365722656,137.8028106689453,123.71524810791016,307.9544372558594,297.0850830078125,147.35049438476562,144.9689178466797,277.98095703125,339.24273681640625,103.72533416748047,46.42721939086914,30.24553108215332,461.7831726074219,238.9775848388672,50.15646743774414,92.33094024658203
2023-07-18,191.22763061523438,125.04407501220703,211.57000732421875,28.788862228393555,252.62306213378906,138.08120727539062,122.83192443847656,317.43206787109375,297.75244140625,147.34124755859375,145.23355102539062,277.16973876953125,352.7445068359375,104.68902587890625,47.459468841552734,30.5660400390625,476.96978759765625,235.82376098632812,50.06576919555664,91.91200256347656
2023-07-19,192.5799102783203,126.0511703491211,208.60000610351562,29.567190170288086,252.85406494140625,138.9254150390625,121.1148910522461,320.51922607421875,300.309326171875,147.0447998046875,145.79124450683594,277.4621887207031,348.417236328125,104.84169006347656,47.04277420043945,30.734716415405273,480.49945068359375,236.46038818359375,50.08197021484375,92.54952239990234
2023-07-20,190.63539123535156,130.1802215576172,213.61000061035156,29.71723175048828,251.25656127929688,140.4611358642578,118.30610656738281,330.2227478027344,299.942626953125,155.97459411621094,147.58702087402344,280.2921447753906,340.36126708984375,102.59943389892578,45.48690414428711,31.0130615234375,481.0145263671875,234.6973876953125,51.00832748413086,94.17974090576172
2023-07-21,189.4607391357422,131.59930419921875,211.8000030517578,29.989179611206055,247.9460906982422,142.5177764892578,119.11995697021484,331.258056640625,301.2398681640625,157.65126037597656,146.4528350830078,278.8582763671875,337.3194580078125,104.05928039550781,44.27678298950195,31.54442024230957,483.1990966796875,234.3350067138672,51.296600341796875,94.61691284179688
2023-07-24,190.2602996826172,131.08660888671875,215.8699951171875,30.617467880249023,249.6013641357422,145.3288116455078,120.61863708496094,337.8180847167969,305.60137939453125,158.4756622314453,149.33560180664062,278.5753173828125,338.63433837890625,103.78257751464844,44.579566955566406,31.637195587158203,485.2500305175781,235.7943878173828,51.59783172607422,96.1014175415039
2023-07-25,191.11904907226562,129.6675262451172,214.1199951171875,30.148595809936523,252.19000244140625,145.99337768554688,121.29353332519531,333.8369445800781,305.62017822265625,159.68914794921875,148.2202911376953,275.7924499511719,344.3941955566406,103.3341293334961,45.64579391479492,31.257654190063477,487.3963928222656,233.78648376464844,51.555728912353516,96.24713134765625
2023-07-26,191.9876708984375,129.9147186279297,232.8000030517578,30.392404556274414,248.59091186523438,144.89768981933594,128.3006134033203,336.5286865234375,309.8126220703125,159.99485778808594,149.1087646484375,275.217041015625,331.43206787109375,104.28827667236328,45.41896057128906,31.38416862487793,484.6013488769531,232.2291717529297,51.74034881591797,95.70980072021484
2023-07-27,190.7241973876953,136.2777099609375,233.75,29.96104621887207,248.5716094970703,143.38893127441406,128.4296112060547,333.6581115722656,309.9254150390625,160.8933868408203,147.46417236328125,278.4621276855469,324.51434326171875,102.73302459716797,45.866634368896484,30.87247657775879,481.9589538574219,229.62379455566406,51.552486419677734,96.01034545898438
2023-07-28,193.30052185058594,138.1087646484375,238.69000244140625,29.914155960083008,250.62142944335938,142.679443359375,131.5857696533203,332.4533996582031,311.48577880859375,161.62515258789062,148.3053436279297,277.3678283691406,332.0207824707031,103.63946533203125,46.71601104736328,30.761600494384766,479.74578857421875,230.90687561035156,51.795413970947266,94.8628158569336
2023-07-31,193.91249084472656,136.946044921875,238.85000610351562,30.0079345703125,255.1829376220703,146.98129272460938,131.72471618652344,334.9381103515625,313.8075866699219,155.1872100830078,149.29776000976562,276.5848693847656,329.6167297363281,105.32830810546875,46.695030212402344,30.753076553344727,483.0464782714844,232.84617614746094,51.77921676635742,97.66790008544922
2023-08-01,193.08334350585938,135.99388122558594,238.00999450683594,29.651592254638672,277.778564453125,145.7598876953125,130.56349182128906,336.6793212890625,312.143798828125,156.447021484375,148.560546875,274.5755615234375,330.0288391113281,104.3836898803711,46.47319412231445,30.369300842285156,481.4914855957031,234.8540802001953,51.53629684448242,97.10322570800781
2023-08-02,190.0924835205078,136.762939453125,231.3800048828125,29.248355865478516,276.7392578125,143.4517822265625,127.41728210449219,330.44866943359375,308.78802490234375,157.39186096191406,146.87815856933594,273.207763671875,321.354736328125,102.58035278320312,44.23681640625,30.147560119628906,481.5487365722656,232.67971801757812,51.57192611694336,95.89193725585938
2023-08-03,188.70068359375,136.46083068847656,231.36000061035156,29.454660415649414,270.8497619628906,143.3979034423828,127.48674011230469,332.3874816894531,310.0569763183594,158.06808471679688,147.7760772705078,274.52838134765625,320.5304870605469,103.6585464477539,44.48263931274414,29.84906768798828,481.60595703125,233.85504150390625,51.58488082885742,97.55860900878906
2023-08-04,179.6392822265625,135.25230407714844,231.36000061035156,29.351505279541016,266.0284118652344,143.0745849609375,127.1492919921875,332.4439697265625,306.84222412109375,156.58596801757812,147.46417236328125,270.75506591796875,321.6295166015625,103.82074737548828,44.64751434326172,29.86612892150879,479.5741271972656,234.080322265625,51.28688049316406,97.83181762695312
2023-08-07,176.5398406982422,137.63270568847656,238.25,29.89539909362793,271.042236328125,143.59547424316406,130.5436248779297,334.6463623046875,309.41778564453125,160.3468475341797,148.16355895996094,274.8868408203125,323.9158020019531,105.41417694091797,45.383975982666016,30.42899513244629,487.2151184082031,236.54855346679688,51.98328399658203,97.63145446777344
2023-08-08,177.47755432128906,136.98265075683594,238.0399932861328,29.32337760925293,272.2355041503906,143.3799285888672,130.41464233398438,327.7757568359375,308.139404296875,160.4209442138672,147.33184814453125,273.16998291015625,319.93194580078125,104.66040802001953,44.63153076171875,30.39488410949707,482.5599060058594,234.3741455078125,52.035099029541016,98.11415100097656
2023-08-09,175.8883514404297,138.0355224609375,237.86000061035156,28.93889808654785,273.8137512207031,143.5685272216797,128.68768310546875,322.5333251953125,308.51544189453125,160.31906127929688,145.3564453125,271.896484375,316.1836853027344,104.66040802001953,42.52306365966797,30.565454483032227,478.9825744628906,234.83453369140625,52.11931610107422,99.78080749511719
2023-08-10,175.6712188720703,138.64894104003906,238.25999450683594,29.013919830322266,273.1305236816406,144.439697265625,128.7174530029297,320.3780517578125,309.63397216796875,159.48536682128906,145.13906860351562,271.30218505859375,316.8704833984375,104.03065490722656,42.35719299316406,30.463109970092773,480.28955078125,235.66860961914062,52.09331512451172,100.29082489013672
2023-08-11,175.73048400878906,139.32640075683594,235.72000122070312,29.342132568359375,274.477783203125,147.42132568359375,128.5884246826172,320.6886291503906,311.2413635253906,161.0415802001953,145.98023986816406,272.26446533203125,314.98651123046875,103.1337661743164,40.82529830932617,30.736021041870117,484.61090087890625,235.55084228515625,52.39887237548828,101.84819030761719
